id,name,name_short,start_date,end_date,private,title_ids,title_names
106370,ESL Challenger Melbourne 2022: North American Qualifier,ESL Challenger Melbo,,,False,['1'],['Counter Strike: Global Offensive']
106371,ESL Challenger Melbourne 2022: Oceanic Qualifier,ESL Challenger Melbo,,,False,['1'],['Counter Strike: Global Offensive']
106373,Asian Battle Arena,Asian Battle Arena,,,False,['2'],['Defense of the Ancients 2']
106374,Kuvo OneTap Summer 2022,Kuvo OneTap Summer 2,,,False,['1'],['Counter Strike: Global Offensive']
106375,ABA,ABA,,,False,['2'],['Defense of the Ancients 2']
106376,SCL Season 5: Challenger Division,SCL Season 5: Challe,,,False,['1'],['Counter Strike: Global Offensive']
106377,Khaz Modan Cup Season 3,Khaz Modan Cup Seaso,,,False,['2'],['Defense of the Ancients 2']
106378,ESL One Malaysia 2022 Southeast Asia: Open Qualifier #1,ESL One Malaysia 202,,,False,['2'],['Defense of the Ancients 2']
106379,ESL Challenger League Season 41 Relegation: Europe,ESL Challenger Leagu,,,False,['1'],['Counter Strike: Global Offensive']
106380,La Liga Pro 2022,La Liga Pro 2022,,,False,['1'],['Counter Strike: Global Offensive']
106382,ESL One Malaysia 2022 South America: Open Qualifier #1,ESL One Malaysia 202,,,False,['2'],['Defense of the Ancients 2']
106383,European Pro League Season 2,European Pro League ,,,False,['2'],['Defense of the Ancients 2']
106384,Moon Studio Asian Tigers 3,Moon Studio Asian Ti,,,False,['2'],['Defense of the Ancients 2']
106386,Fragadelphia 17: Philadelphia,Fragadelphia 17: Phi,,,False,['1'],['Counter Strike: Global Offensive']
106387,Perfect World Arena Premier League Season 2,Perfect World Arena ,,,False,['1'],['Counter Strike: Global Offensive']
106388,ESEA Cash Cup: Europe - Summer 2022 #3,ESEA Cash Cup: Europ,,,False,['1'],['Counter Strike: Global Offensive']
106389,ESL One Malaysia 2022 Southeast Asia: Open Qualifier #2,ESL One Malaysia 202,,,False,['2'],['Defense of the Ancients 2']
106390,Riyadh Masters 2022,Riyadh Masters 2022,,,False,['2'],['Defense of the Ancients 2']
106391,ESL Impact Cash Cup: Europe - Summer 2022 #3,ESL Impact Cash Cup:,,,False,['1'],['Counter Strike: Global Offensive']
106392,PARI WHITE NIGHT LAN,PARI WHITE NIGHT LAN,,,False,['1'],['Counter Strike: Global Offensive']
106393,ESL One Malaysia 2022 South America: Open Qualifier #2,ESL One Malaysia 202,,,False,['2'],['Defense of the Ancients 2']
106395,BGS Esports 2022 Bomb B,BGS Esports 2022 Bom,,,False,['1'],['Counter Strike: Global Offensive']
106396,ESL One Malaysia 2022 China: Open Qualifier #2,ESL One Malaysia 202,,,False,['2'],['Defense of the Ancients 2']
106397,ESL One Malaysia 2022 China: Open Qualifier #1,ESL One Malaysia 202,,,False,['2'],['Defense of the Ancients 2']
106398,TodayPay Dota 2 Invitational Season 1,Today pay Dota 2 S1,,,False,['2'],['Defense of the Ancients 2']
106399,ESL One Malaysia 2022 Europe/CIS: Open Qualifier #1,ESL One Malaysia 202,,,False,['2'],['Defense of the Ancients 2']
106401,TodayPay Inv 1,TodayPay Inv 1,,,False,['2'],['Defense of the Ancients 2']
106402,ESL One Malaysia 2022 North America: Open Qualifier #1,ESL One Malaysia 202,,,False,['2'],['Defense of the Ancients 2']
106403,Gamers Club Liga A: July 2022,Gamers Club Liga A: July 2022,,,False,['1'],['Counter Strike: Global Offensive']
106407,ESL One Malaysia 2022 Europe/CIS: Open Qualifier #2,ESL One Malaysia 202,,,False,['2'],['Defense of the Ancients 2']
106408,EGL One Season 3,EGL One Season 3,,,False,['2'],['Defense of the Ancients 2']
106409,ESL One Malaysia 2022 North America: Open Qualifier #2,ESL One Malaysia 202,,,False,['2'],['Defense of the Ancients 2']
106411,ESL One Malaysia 2022 Southeast Asia: Closed Qualifier,ESL One Malaysia 202,,,False,['2'],['Defense of the Ancients 2']
106412,WePlay Academy League Season 5,WePlay Academy Leagu,,,False,['1'],['Counter Strike: Global Offensive']
106415,ESL One Malaysia 2022 South America: Closed Qualifier,ESL One Malaysia 202,,,False,['2'],['Defense of the Ancients 2']
106417,Gamers Club Liga Série A: July 2022,Gamers Club Liga Sé,,,False,['1'],['Counter Strike: Global Offensive']
106419,ESL Impact Cash Cup: South America - Summer 2022 #2,ESL Impact Cash Cup:,,,False,['1'],['Counter Strike: Global Offensive']
106420,ESEA Cash Cup: Europe - Summer 2022 #2,ESEA Cash Cup: Europ,,,False,['1'],['Counter Strike: Global Offensive']
106421,ESL Impact Cash Cup: Europe - Summer 2022 #2,ESL Impact Cash Cup:,,,False,['1'],['Counter Strike: Global Offensive']
106422,ESEA Cash Cup: North America - Summer 2022 #2,ESEA Cash Cup: North,,,False,['1'],['Counter Strike: Global Offensive']
106423,ESEA Cash Cup: South America - Summer 2022 #3,ESEA Cash Cup: South,,,False,['1'],['Counter Strike: Global Offensive']
106425,ESL One Malaysia 2022 China: Closed Qualifier,ESL One Malaysia 202,,,False,['2'],['Defense of the Ancients 2']
106427,ESL One Malaysia 2022 Europe/CIS: Closed Qualifier,ESL One Malaysia 202,,,False,['2'],['Defense of the Ancients 2']
106428,FRAG Season 9,FRAG Season 9,,,False,['1'],['Counter Strike: Global Offensive']
106429,ESL One Malaysia 2022 North America: Closed Qualifier,ESL One Malaysia 202,,,False,['2'],['Defense of the Ancients 2']
106431,E-unity - Online Stage,E-unity - Online Sta,,,False,['2'],['Defense of the Ancients 2']
106433,Copa De La Liga,Copa De La Liga 2022,,,False,['1'],['Counter Strike: Global Offensive']
106434,Titus Colosseum S2,Titus Colosseum S2,,,False,['2'],['Defense of the Ancients 2']
106437,E-unity - Finals,E-unity - Finals,,,False,['2'],['Defense of the Ancients 2']
106438,Esport Adria Prvenstvo 2022,Esport Adria Prvenst,,,False,['1'],['Counter Strike: Global Offensive']
106443,Kabum! Challenge Especial Gaules,Kabum! Challenge Esp,,,False,['1'],['Counter Strike: Global Offensive']
106447,Esportal Bybit Open 2022,Esportal Bybit Open ,,,False,['1'],['Counter Strike: Global Offensive']
106448,ESL Impact Cash Cup: South America - Summer 2022 #3,ESL Impact Cash Cup:,,,False,['1'],['Counter Strike: Global Offensive']
106449,ESEA Cash Cup: North America - Summer 2022 #3,ESEA Cash Cup: North,,,False,['1'],['Counter Strike: Global Offensive']
106451,Assembly Summer 2022,Assembly Summer 2022,,,False,['1'],['Counter Strike: Global Offensive']
106463,Predator Energy League,Predator Energy Leag,,,False,['2'],['Defense of the Ancients 2']
106465,PGL Arlington Major 2022,PGL Arlington Major ,,,False,['2'],['Defense of the Ancients 2']
106476,CCT South America Series 1,CCT South America Series 1,,,False,['1'],['Counter Strike: Global Offensive']
106477,Summer Wave,Summer Wave,,,False,['2'],['Defense of the Ancients 2']
106478,CCT Central Europe Series 1,CCT Central Europe Series 1,,,False,['1'],['Counter Strike: Global Offensive']
106483,LATAM Rookie Challenge: Open Qualifier #1,LATAM Rookie Challen,,,False,['2'],['Defense of the Ancients 2']
106488,LATAM Rookie Challenge: Open Qualifier #2,LATAM Rookie Challen,,,False,['2'],['Defense of the Ancients 2']
106495,ESEA Cash Cup: North America - Summer 2022 #4,ESEA Cash Cup: North,,,False,['1'],['Counter Strike: Global Offensive']
106496,Moon Studio August Mood 2022,Moon Studio August M,,,False,['2'],['Defense of the Ancients 2']
